Valor,Tiempo
10,0.000372
100,0.001312
500,0.112806
1000,0.802259
1500,2.772232
2000,6.950714
2500,21.170534
3000,38.525352
3500,66.926697
4000,102.069498
4500,153.523195
6000,379.542071
7000,606.828274
7500,756.887099
8000,857.652627
10,0.000271
100,0.001447
500,0.116924
1000,0.810422
1500,2.812543
2000,6.888700
2500,21.383705
3000,38.818217
3500,66.828136
4000,101.703844
4500,151.877892
6000,362.153585
7000,605.670212
7500,700.193259
8000,911.721679
10,0.000243
100,0.001214
500,0.114764
1000,0.809239
1500,2.844004
2000,6.905871
2500,21.393676
3000,38.715744
3500,66.998017
4000,103.805727
4500,157.532547
6000,396.893233
7000,584.609535
7500,707.622886
8000,882.074457
