Valor,Tiempo
10,
100,0.001359
500,0.094803
1000,0.728122
1500,2.415671
2000,5.812695
2500,20.164594
3000,37.457795
3500,61.409749
4000,93.610189
4500,136.080493
6000,330.022226
7000,532.644027
7500,667.387461
8000,806.878800
10,
100,0.001589
500,0.092779
1000,0.729559
1500,2.591326
2000,5.890217
2500,20.403046
3000,37.860987
3500,62.344364
4000,93.968963
4500,136.746622
6000,329.830593
7000,533.719182
7500,663.933336
8000,805.731734
10,
100,0.001524
500,0.106199
1000,0.727843
1500,2.465909
2000,5.981228
2500,20.397130
3000,37.584734
3500,62.118956
4000,93.788123
4500,136.477812
6000,330.290722
7000,532.225300
7500,662.438974
8000,805.780630
