Valor,Tiempo
10,0.000088
100,0.002337
500,0.268462
1000,2.208487
1500,7.608913
2000,22.054467
2500,58.766955
3000,104.923603
3500,178.124992
4000,270.068394
4500,404.315241
6000,1000.635547
7000,1606.818825
7500,1984.024347
8000,2375.656259
10,0.000169
100,0.002299
500,0.275130
1000,2.186089
1500,7.549840
2000,20.400931
2500,58.979989
3000,102.811761
3500,176.381238
4000,266.223062
4500,398.308349
6000,983.481961
7000,1583.014892
7500,1977.240249
8000,2373.441071
10,0.000090
100,0.002316
500,0.277761
1000,2.194319
1500,7.548628
2000,20.529325
2500,58.681851
3000,102.481389
3500,176.840245
4000,264.284371
4500,399.439766
6000,982.057736
7000,1585.556287
7500,1977.761819
8000,2377.098013
