Valor,Tiempo
10,
100,0.001478
500,0.098927
1000,0.701938
1500,2.530343
2000,6.032153
2500,20.416241
3000,38.507851
3500,62.021141
4000,94.560630
4500,139.700238
6000,337.922581
7000,553.282863
7500,683.108997
8000,839.320303
10,
100,0.001695
500,0.106930
1000,0.681175
1500,2.522458
2000,5.891088
2500,20.294606
3000,38.808650
3500,62.131802
4000,94.719839
4500,140.075871
6000,340.424794
7000,553.552208
7500,682.683299
8000,834.483448
10,
100,0.001834
500,0.104599
1000,0.680395
1500,2.507605
2000,5.944552
2500,20.283863
3000,37.756693
3500,62.231507
4000,94.317943
4500,138.015402
6000,341.148500
7000,554.514363
7500,682.506236
8000,833.064105
